occupation_title;occupation_code;soc_major_code;occupation_group;employment_2024;employment_2034;emp_change_pct;median_wage_2024;education_required;education_level;automation_risk_score;ai_risk_category;collar_type;growth_category;PosEmpChange
"Lawyers";23-1011;23;"Legal occupations";864.8;900.7;4.1;151160;"Doctoral or professional degree";8;9;High;"White-collar";Stable;"TRUE"
"Judicial law clerks";23-1012;23;"Legal occupations";14.5;14.9;2.5;60400;"Doctoral or professional degree";8;9;High;"White-collar";Stable;"TRUE"
"Administrative law judges, adjudicators, and hearing officers";23-1021;23;"Legal occupations";17.5;17.4;-0.7;115230;"Doctoral or professional degree";8;9;High;"White-collar";Stable;FALSE
"Arbitrators, mediators, and conciliators";23-1022;23;"Legal occupations";9.1;9.5;4.3;67710;"Bachelor's degree";6;9;High;"White-collar";Stable;"TRUE"
"Judges, magistrate judges, and magistrates";23-1023;23;"Legal occupations";27.3;28;2.5;156210;"Doctoral or professional degree";8;9;High;"White-collar";Stable;"TRUE"
"Paralegals and legal assistants";23-2011;23;"Legal occupations";376.2;376.8;0.2;61010;"Associate's degree";5;9;High;"White-collar";Stable;"TRUE"
"Title examiners, abstractors, and searchers";23-2093;23;"Legal occupations";57.4;58.5;2;54980;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Legal support workers, all other";23-2099;23;"Legal occupations";51.3;50.7;-1.2;68760;"Associate's degree";5;9;High;"White-collar";Stable;FALSE
"Business teachers, postsecondary";25-1011;25;"Educational instruction and library occupations";103.1;109;5.7;97270;"Doctoral or professional degree";8;5;Medium;"White-collar";"Growing";"TRUE"
"Computer science teachers, postsecondary";25-1021;25;"Educational instruction and library occupations";44.8;47.2;5.3;96690;"Doctoral or professional degree";8;5;Medium;"White-collar";"Growing";"TRUE"
"Mathematical science teachers, postsecondary";25-1022;25;"Educational instruction and library occupations";58.9;60.2;2.3;79350;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Architecture teachers, postsecondary";25-1031;25;"Educational instruction and library occupations";11.6;11.9;2;101480;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Engineering teachers, postsecondary";25-1032;25;"Educational instruction and library occupations";50.3;54.4;8.1;106120;"Doctoral or professional degree";8;5;Medium;"White-collar";"Growing";"TRUE"
"Agricultural sciences teachers, postsecondary";25-1041;25;"Educational instruction and library occupations";10.7;11.2;4.1;86350;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Biological science teachers, postsecondary";25-1042;25;"Educational instruction and library occupations";66;70.8;7.3;83460;"Doctoral or professional degree";8;5;Medium;"White-collar";"Growing";"TRUE"
"Forestry and conservation science teachers, postsecondary";25-1043;25;"Educational instruction and library occupations";1.6;1.7;4;100830;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Atmospheric, earth, marine, and space sciences teachers, postsecondary";25-1051;25;"Educational instruction and library occupations";14;14.4;2.6;101390;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Chemistry teachers, postsecondary";25-1052;25;"Educational instruction and library occupations";25.4;26;2.2;86220;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Environmental science teachers, postsecondary";25-1053;25;"Educational instruction and library occupations";9;9.3;2.9;87710;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Physics teachers, postsecondary";25-1054;25;"Educational instruction and library occupations";17.1;17.5;2.5;97360;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Anthropology and archeology teachers, postsecondary";25-1061;25;"Educational instruction and library occupations";6.5;6.7;2.7;95770;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Area, ethnic, and cultural studies teachers, postsecondary";25-1062;25;"Educational instruction and library occupations";14.5;14.8;2.4;84290;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Economics teachers, postsecondary";25-1063;25;"Educational instruction and library occupations";15.8;16.1;2.1;119980;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Geography teachers, postsecondary";25-1064;25;"Educational instruction and library occupations";4;4.2;3.3;86730;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Political science teachers, postsecondary";25-1065;25;"Educational instruction and library occupations";21.8;22.2;2;94680;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Psychology teachers, postsecondary";25-1066;25;"Educational instruction and library occupations";52.5;54.4;3.6;80330;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Sociology teachers, postsecondary";25-1067;25;"Educational instruction and library occupations";15.4;15.7;2.1;82540;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Social sciences teachers, postsecondary, all other";25-1069;25;"Educational instruction and library occupations";20.7;21.1;1.7;75040;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Health specialties teachers, postsecondary";25-1071;25;"Educational instruction and library occupations";289.6;339.7;17.3;105620;"Doctoral or professional degree";8;5;Medium;"White-collar";"Growing";"TRUE"
"Nursing instructors and teachers, postsecondary";25-1072;25;"Educational instruction and library occupations";91.6;106.9;16.8;79940;"Doctoral or professional degree";8;5;Medium;"White-collar";"Growing";"TRUE"
"Education teachers, postsecondary";25-1081;25;"Educational instruction and library occupations";74.9;76.5;2.1;72090;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Library science teachers, postsecondary";25-1082;25;"Educational instruction and library occupations";5.1;5.3;3;78630;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Criminal justice and law enforcement teachers, postsecondary";25-1111;25;"Educational instruction and library occupations";16.2;16.5;2;71470;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Law teachers, postsecondary";25-1112;25;"Educational instruction and library occupations";29.5;30.2;2.2;126650;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Social work teachers, postsecondary";25-1113;25;"Educational instruction and library occupations";17.1;17.5;2.3;76210;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Art, drama, and music teachers, postsecondary";25-1121;25;"Educational instruction and library occupations";122.8;124.8;1.7;80190;"Master's degree";7;5;Medium;"White-collar";Stable;"TRUE"
"Communications teachers, postsecondary";25-1122;25;"Educational instruction and library occupations";35.8;36.6;2.1;77800;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"English language and literature teachers, postsecondary";25-1123;25;"Educational instruction and library occupations";72.2;72.2;0;78270;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Foreign language and literature teachers, postsecondary";25-1124;25;"Educational instruction and library occupations";26.4;26.4;-0.2;77010;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;FALSE
"History teachers, postsecondary";25-1125;25;"Educational instruction and library occupations";24.6;24.6;-0.2;81500;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;FALSE
"Philosophy and religion teachers, postsecondary";25-1126;25;"Educational instruction and library occupations";27.3;27.5;0.7;78050;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Family and consumer sciences teachers, postsecondary";25-1192;25;"Educational instruction and library occupations";3.2;3.3;3.4;77280;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Recreation and fitness studies teachers, postsecondary";25-1193;25;"Educational instruction and library occupations";15.4;15.7;2.4;75890;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Career/technical education teachers, postsecondary";25-1194;25;"Educational instruction and library occupations";122.2;123;0.7;61490;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Postsecondary teachers, all other";25-1199;25;"Educational instruction and library occupations";183.4;186.8;1.8;78490;"Doctoral or professional degree";8;5;Medium;"White-collar";Stable;"TRUE"
"Preschool teachers, except special education";25-2011;25;"Educational instruction and library occupations";555.1;578.1;4.1;37120;"Associate's degree";5;5;Medium;"White-collar";Stable;"TRUE"
"Kindergarten teachers, except special education";25-2012;25;"Educational instruction and library occupations";117.2;115.2;-1.6;61430;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Elementary school teachers, except special education";25-2021;25;"Educational instruction and library occupations";1422.7;1394.8;-2;62340;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Middle school teachers, except special and career/technical education";25-2022;25;"Educational instruction and library occupations";633.7;621.3;-2;62970;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Career/technical education teachers, middle school";25-2023;25;"Educational instruction and library occupations";14;13.8;-2;63620;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Secondary school teachers, except special and career/technical education";25-2031;25;"Educational instruction and library occupations";1094.5;1076.7;-1.6;64580;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Career/technical education teachers, secondary school";25-2032;25;"Educational instruction and library occupations";103.4;101.5;-1.8;63910;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Special education teachers, preschool";25-2051;25;"Educational instruction and library occupations";29.3;29.7;1.4;62190;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Special education teachers, kindergarten and elementary school";25-2052;25;"Educational instruction and library occupations";230.2;226.1;-1.8;63000;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Special education teachers, middle school";25-2057;25;"Educational instruction and library occupations";94.8;93;-1.9;64880;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Special education teachers, secondary school";25-2058;25;"Educational instruction and library occupations";164.2;161.5;-1.6;69590;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Special education teachers, all other";25-2059;25;"Educational instruction and library occupations";41;41.5;1.1;67430;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Adult basic education, adult secondary education, and english as a second language instructors";25-3011;25;"Educational instruction and library occupations";40.9;35.3;-13.7;59950;"Bachelor's degree";6;5;Medium;"White-collar";"Declining";FALSE
"Self-enrichment teachers";25-3021;25;"Educational instruction and library occupations";417.5;433;3.7;45590;"High school diploma or equivalent";2;5;Medium;"White-collar";Stable;"TRUE"
"Substitute teachers, short-term";25-3031;25;"Educational instruction and library occupations";510.1;518.5;1.6;38470;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Tutors";25-3041;25;"Educational instruction and library occupations";215.5;216.8;0.6;40090;"Some college, no degree";3;5;Medium;"White-collar";Stable;"TRUE"
"Teachers and instructors, all other";25-3099;25;"Educational instruction and library occupations";153.8;153.5;-0.1;64690;"Bachelor's degree";6;5;Medium;"White-collar";Stable;FALSE
"Archivists";25-4011;25;"Educational instruction and library occupations";9.3;9.7;3.8;61570;"Master's degree";7;5;Medium;"White-collar";Stable;"TRUE"
"Curators";25-4012;25;"Educational instruction and library occupations";15.1;16.2;7;61770;"Master's degree";7;5;Medium;"White-collar";"Growing";"TRUE"
"Museum technicians and conservators";25-4013;25;"Educational instruction and library occupations";15.7;16.5;5.4;47460;"Bachelor's degree";6;5;Medium;"White-collar";"Growing";"TRUE"
"Librarians and media collections specialists";25-4022;25;"Educational instruction and library occupations";142.1;144.5;1.7;64320;"Master's degree";7;5;Medium;"White-collar";Stable;"TRUE"
"Library technicians";25-4031;25;"Educational instruction and library occupations";78.6;73.2;-6.8;39970;"Postsecondary nondegree award";4;5;Medium;"White-collar";"Declining";FALSE
"Farm and home management educators";25-9021;25;"Educational instruction and library occupations";12.4;12.1;-2.5;58120;"Master's degree";7;5;Medium;"White-collar";Stable;FALSE
"Instructional coordinators";25-9031;25;"Educational instruction and library occupations";232.6;235.5;1.3;74720;"Master's degree";7;5;Medium;"White-collar";Stable;"TRUE"
"Teaching assistants, postsecondary";25-9044;25;"Educational instruction and library occupations";193.6;199.6;3.1;44930;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Teaching assistants, except postsecondary";25-9045;25;"Educational instruction and library occupations";1422.8;1401.7;-1.5;35240;"Some college, no degree";3;5;Medium;"White-collar";Stable;FALSE
"Educational instruction and library workers, all other";25-9099;25;"Educational instruction and library occupations";132;134;1.5;48400;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Art directors";27-1011;27;"Arts, design, entertainment, sports, and media occupations";135;140.7;4.2;111040;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Craft artists";27-1012;27;"Arts, design, entertainment, sports, and media occupations";11.6;11.9;2.1;38480;"No formal educational credential";1;8;High;"White-collar";Stable;"TRUE"
"Fine artists, including painters, sculptors, and illustrators";27-1013;27;"Arts, design, entertainment, sports, and media occupations";26.5;26.2;-1.2;60560;"Bachelor's degree";6;8;High;"White-collar";Stable;FALSE
"Special effects artists and animators";27-1014;27;"Arts, design, entertainment, sports, and media occupations";57.1;58;1.6;99800;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Artists and related workers, all other";27-1019;27;"Arts, design, entertainment, sports, and media occupations";13.9;14;0.8;72760;"No formal educational credential";1;8;High;"White-collar";Stable;"TRUE"
"Commercial and industrial designers";27-1021;27;"Arts, design, entertainment, sports, and media occupations";30.6;31.6;3.2;79450;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Fashion designers";27-1022;27;"Arts, design, entertainment, sports, and media occupations";25.7;26.2;2;80690;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Floral designers";27-1023;27;"Arts, design, entertainment, sports, and media occupations";43.8;41.2;-5.9;36120;"High school diploma or equivalent";2;8;High;"White-collar";"Declining";FALSE
"Graphic designers";27-1024;27;"Arts, design, entertainment, sports, and media occupations";265.9;271.5;2.1;61300;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Interior designers";27-1025;27;"Arts, design, entertainment, sports, and media occupations";87.1;89.9;3.2;63490;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Merchandise displayers and window trimmers";27-1026;27;"Arts, design, entertainment, sports, and media occupations";193;199.3;3.2;37350;"High school diploma or equivalent";2;8;High;"White-collar";Stable;"TRUE"
"Set and exhibit designers";27-1027;27;"Arts, design, entertainment, sports, and media occupations";31.3;32;2.3;66280;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Designers, all other";27-1029;27;"Arts, design, entertainment, sports, and media occupations";28.6;29.2;2;66220;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Actors";27-2011;27;"Arts, design, entertainment, sports, and media occupations";57;57.1;0.3;;"Some college, no degree";3;8;High;"White-collar";Stable;"TRUE"
"Producers and directors";27-2012;27;"Arts, design, entertainment, sports, and media occupations";167;175.2;4.9;83480;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Athletes and sports competitors";27-2021;27;"Arts, design, entertainment, sports, and media occupations";19.1;20.2;5.5;62360;"No formal educational credential";1;8;High;"White-collar";"Growing";"TRUE"
"Coaches and scouts";27-2022;27;"Arts, design, entertainment, sports, and media occupations";306.5;326;6.4;45920;"Bachelor's degree";6;8;High;"White-collar";"Growing";"TRUE"
"Umpires, referees, and other sports officials";27-2023;27;"Arts, design, entertainment, sports, and media occupations";19.3;20.4;5.7;38820;"High school diploma or equivalent";2;8;High;"White-collar";"Growing";"TRUE"
"Dancers";27-2031;27;"Arts, design, entertainment, sports, and media occupations";12.3;12.9;4.5;;"No formal educational credential";1;8;High;"White-collar";Stable;"TRUE"
"Choreographers";27-2032;27;"Arts, design, entertainment, sports, and media occupations";4.6;4.9;6.1;55600;"High school diploma or equivalent";2;8;High;"White-collar";"Growing";"TRUE"
"Music directors and composers";27-2041;27;"Arts, design, entertainment, sports, and media occupations";47.3;47.2;-0.3;63670;"Bachelor's degree";6;8;High;"White-collar";Stable;FALSE
"Musicians and singers";27-2042;27;"Arts, design, entertainment, sports, and media occupations";169.8;171.6;1.1;;"No formal educational credential";1;8;High;"White-collar";Stable;"TRUE"
"Disc jockeys, except radio";27-2091;27;"Arts, design, entertainment, sports, and media occupations";15.4;16;3.8;;"High school diploma or equivalent";2;8;High;"White-collar";Stable;"TRUE"
"Entertainers and performers, sports and related workers, all other";27-2099;27;"Arts, design, entertainment, sports, and media occupations";35.8;38;6;;"No formal educational credential";1;8;High;"White-collar";"Growing";"TRUE"
"Broadcast announcers and radio disc jockeys";27-3011;27;"Arts, design, entertainment, sports, and media occupations";24.1;22.8;-5.5;45680;"Bachelor's degree";6;8;High;"White-collar";"Declining";FALSE
"News analysts, reporters, and journalists";27-3023;27;"Arts, design, entertainment, sports, and media occupations";49.3;47.4;-3.9;60280;"Bachelor's degree";6;8;High;"White-collar";Stable;FALSE
"Public relations specialists";27-3031;27;"Arts, design, entertainment, sports, and media occupations";315.9;331;4.8;69780;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Editors";27-3041;27;"Arts, design, entertainment, sports, and media occupations";115.8;116.5;0.6;75260;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Technical writers";27-3042;27;"Arts, design, entertainment, sports, and media occupations";56.4;56.9;0.9;91670;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Writers and authors";27-3043;27;"Arts, design, entertainment, sports, and media occupations";135.4;140.3;3.6;72270;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Interpreters and translators";27-3091;27;"Arts, design, entertainment, sports, and media occupations";75.3;76.6;1.7;59440;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Court reporters and simultaneous captioners";27-3092;27;"Arts, design, entertainment, sports, and media occupations";17.7;17.7;-0.3;67310;"Postsecondary nondegree award";4;8;High;"White-collar";Stable;FALSE
"Media and communication workers, all other";27-3099;27;"Arts, design, entertainment, sports, and media occupations";34.3;35.3;2.7;71770;"High school diploma or equivalent";2;8;High;"White-collar";Stable;"TRUE"
"Audio and video technicians";27-4011;27;"Arts, design, entertainment, sports, and media occupations";92.3;95.4;3.3;54830;"Postsecondary nondegree award";4;8;High;"White-collar";Stable;"TRUE"
"Broadcast technicians";27-4012;27;"Arts, design, entertainment, sports, and media occupations";24.8;24.2;-2.8;53920;"Associate's degree";5;8;High;"White-collar";Stable;FALSE
"Sound engineering technicians";27-4014;27;"Arts, design, entertainment, sports, and media occupations";16.9;16.6;-1.7;66430;"Postsecondary nondegree award";4;8;High;"White-collar";Stable;FALSE
"Lighting technicians";27-4015;27;"Arts, design, entertainment, sports, and media occupations";12.1;11.5;-4.6;60560;"Postsecondary nondegree award";4;8;High;"White-collar";Stable;FALSE
"Photographers";27-4021;27;"Arts, design, entertainment, sports, and media occupations";151.2;154;1.8;42520;"High school diploma or equivalent";2;8;High;"White-collar";Stable;"TRUE"
"Camera operators, television, video, and film";27-4031;27;"Arts, design, entertainment, sports, and media occupations";36.4;36.9;1.2;68810;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Film and video editors";27-4032;27;"Arts, design, entertainment, sports, and media occupations";43.5;45.2;4;70980;"Bachelor's degree";6;8;High;"White-collar";Stable;"TRUE"
"Media and communication equipment workers, all other";27-4099;27;"Arts, design, entertainment, sports, and media occupations";15.1;15.2;0.6;67190;"High school diploma or equivalent";2;8;High;"White-collar";Stable;"TRUE"
"Chiropractors";29-1011;29;"Healthcare practitioners and technical occupations";57.2;62.6;9.5;79000;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Dentists, general";29-1021;29;"Healthcare practitioners and technical occupations";129.8;135.2;4.1;172790;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Oral and maxillofacial surgeons";29-1022;29;"Healthcare practitioners and technical occupations";6.1;6.4;4.1;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Orthodontists";29-1023;29;"Healthcare practitioners and technical occupations";5.9;6.2;4.4;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Prosthodontists";29-1024;29;"Healthcare practitioners and technical occupations";0.9;0.9;4.5;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Dentists, all other specialists";29-1029;29;"Healthcare practitioners and technical occupations";6.6;6.6;0.3;225770;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Dietitians and nutritionists";29-1031;29;"Healthcare practitioners and technical occupations";90.9;95.9;5.5;73850;"Bachelor's degree";6;7;High;"White-collar";"Growing";"TRUE"
"Optometrists";29-1041;29;"Healthcare practitioners and technical occupations";47.8;51.6;8;134830;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Pharmacists";29-1051;29;"Healthcare practitioners and technical occupations";335.1;350.5;4.6;137480;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Physician assistants";29-1071;29;"Healthcare practitioners and technical occupations";162.7;195.8;20.4;133260;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Podiatrists";29-1081;29;"Healthcare practitioners and technical occupations";9.7;9.9;1.8;152800;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Occupational therapists";29-1122;29;"Healthcare practitioners and technical occupations";160;182.1;13.8;98340;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Physical therapists";29-1123;29;"Healthcare practitioners and technical occupations";267.2;296.4;10.9;101020;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Radiation therapists";29-1124;29;"Healthcare practitioners and technical occupations";19.2;19.6;1.9;101990;"Associate's degree";5;7;High;"White-collar";Stable;"TRUE"
"Recreational therapists";29-1125;29;"Healthcare practitioners and technical occupations";16.1;16.6;3.3;60280;"Bachelor's degree";6;7;High;"White-collar";Stable;"TRUE"
"Respiratory therapists";29-1126;29;"Healthcare practitioners and technical occupations";139.6;156.4;12.1;80450;"Associate's degree";5;7;High;"White-collar";"Growing";"TRUE"
"Speech-language pathologists";29-1127;29;"Healthcare practitioners and technical occupations";187.4;215.5;15;95410;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Exercise physiologists";29-1128;29;"Healthcare practitioners and technical occupations";23.9;26.1;9.5;58160;"Bachelor's degree";6;7;High;"White-collar";"Growing";"TRUE"
"Therapists, all other";29-1129;29;"Healthcare practitioners and technical occupations";56.1;62.5;11.5;65010;"Bachelor's degree";6;7;High;"White-collar";"Growing";"TRUE"
"Veterinarians";29-1131;29;"Healthcare practitioners and technical occupations";86.4;94.7;9.6;125510;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Registered nurses";29-1141;29;"Healthcare practitioners and technical occupations";3391;3557.1;4.9;93600;"Bachelor's degree";6;7;High;"White-collar";Stable;"TRUE"
"Nurse anesthetists";29-1151;29;"Healthcare practitioners and technical occupations";53.8;58.5;8.6;223210;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Nurse midwives";29-1161;29;"Healthcare practitioners and technical occupations";8.6;9.5;11.1;128790;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Nurse practitioners";29-1171;29;"Healthcare practitioners and technical occupations";320.4;448.8;40.1;129210;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
Audiologists;29-1181;29;"Healthcare practitioners and technical occupations";15.8;17.3;9.5;92120;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Anesthesiologists";29-1211;29;"Healthcare practitioners and technical occupations";45.3;46.7;3.2;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Cardiologists";29-1212;29;"Healthcare practitioners and technical occupations";19.4;20.2;4.1;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Dermatologists";29-1213;29;"Healthcare practitioners and technical occupations";10.9;11.6;6.4;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Emergency medicine physicians";29-1214;29;"Healthcare practitioners and technical occupations";36.1;37.1;2.7;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Family medicine physicians";29-1215;29;"Healthcare practitioners and technical occupations";116;119.1;2.7;238380;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"General internal medicine physicians";29-1216;29;"Healthcare practitioners and technical occupations";73.2;75.6;3.3;236350;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Neurologists";29-1217;29;"Healthcare practitioners and technical occupations";8.3;8.8;5.4;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Obstetricians and gynecologists";29-1218;29;"Healthcare practitioners and technical occupations";21.5;21.7;1.2;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Pediatricians, general";29-1221;29;"Healthcare practitioners and technical occupations";46.4;46.8;0.8;210130;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Physicians, pathologists";29-1222;29;"Healthcare practitioners and technical occupations";12.6;13.1;4.2;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Psychiatrists";29-1223;29;"Healthcare practitioners and technical occupations";27.1;28.8;6.1;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";"Growing";"TRUE"
"Radiologists";29-1224;29;"Healthcare practitioners and technical occupations";28.2;29;2.7;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Physicians, all other";29-1229;29;"Healthcare practitioners and technical occupations";340.7;349.3;2.5;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Ophthalmologists, except pediatric";29-1241;29;"Healthcare practitioners and technical occupations";12.5;13.1;4.3;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Orthopedic surgeons, except pediatric";29-1242;29;"Healthcare practitioners and technical occupations";14.7;15.3;4.1;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Pediatric surgeons";29-1243;29;"Healthcare practitioners and technical occupations";1.1;1.1;1.5;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Surgeons, all other";29-1249;29;"Healthcare practitioners and technical occupations";25.1;26;3.9;>=$239,200;"Doctoral or professional degree";8;7;High;"White-collar";Stable;"TRUE"
"Acupuncturists";29-1291;29;"Healthcare practitioners and technical occupations";15.3;16.4;6.8;78140;"Master's degree";7;7;High;"White-collar";"Growing";"TRUE"
"Dental hygienists";29-1292;29;"Healthcare practitioners and technical occupations";221.6;237.2;7;94260;"Associate's degree";5;7;High;"White-collar";"Growing";"TRUE"
"Healthcare diagnosing or treating practitioners, all other";29-1299;29;"Healthcare practitioners and technical occupations";41.3;42.2;2;113730;"Master's degree";7;7;High;"White-collar";Stable;"TRUE"
"Clinical laboratory technologists and technicians";29-2010;29;"Healthcare practitioners and technical occupations";351.2;357.2;1.7;61890;"Bachelor's degree";6;7;High;"White-collar";Stable;"TRUE"
"Cardiovascular technologists and technicians";29-2031;29;"Healthcare practitioners and technical occupations";64.7;66.6;3;67260;"Associate's degree";5;7;High;"White-collar";Stable;"TRUE"
"Diagnostic medical sonographers";29-2032;29;"Healthcare practitioners and technical occupations";90;101.7;13;89340;"Associate's degree";5;7;High;"White-collar";"Growing";"TRUE"
"Nuclear medicine technologists";29-2033;29;"Healthcare practitioners and technical occupations";20;20.6;3;97020;"Associate's degree";5;7;High;"White-collar";Stable;"TRUE"
"Radiologic technologists and technicians";29-2034;29;"Healthcare practitioners and technical occupations";228;237.8;4.3;77660;"Associate's degree";5;7;High;"White-collar";Stable;"TRUE"
"Magnetic resonance imaging technologists";29-2035;29;"Healthcare practitioners and technical occupations";44.1;47.2;7.1;88180;"Associate's degree";5;7;High;"White-collar";"Growing";"TRUE"
